epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.0679166635889916,0.5222929936305732,1.0507189252159812,0.5303030303030303
2,0.5660618887205792,0.7627388535031847,1.0998974460544009,0.5227272727272727
3,0.2787414055768472,0.8901273885350318,0.637979886748574,0.7196969696969697
4,0.1466828573281598,0.9538216560509554,0.7761997332175573,0.7575757575757576
5,0.10163822405894471,0.9665605095541401,0.42408183713754016,0.8409090909090909
6,0.07505395185724376,0.9681528662420382,0.25161120295524597,0.8560606060606061
7,0.048626952086854136,0.9872611464968153,0.5157315916184223,0.8106060606060606
8,0.032439344461746275,0.9920382165605095,0.40472952276468277,0.8560606060606061
9,0.04049728782758544,0.9872611464968153,0.43215379542247817,0.8863636363636364
10,0.030564538244703773,0.9872611464968153,0.383407275333549,0.8787878787878788
