epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6247411797380751,0.7420382165605095,0.7046433511105451,0.7727272727272727
2,0.3008201076726245,0.8869426751592356,0.7027740891684185,0.8257575757575758
3,0.1415626034615146,0.9617834394904459,0.23485760464135444,0.9166666666666666
4,0.09989639995678974,0.964968152866242,0.22122557979133545,0.9166666666666666
5,0.11946068870224011,0.9585987261146497,0.15616252024968466,0.9545454545454546
6,0.052583875182043216,0.982484076433121,0.15453488197685641,0.946969696969697
7,0.07050569898858192,0.982484076433121,0.3030843378298662,0.8939393939393939
8,0.042978597306616746,0.9872611464968153,0.17356123433758816,0.9318181818181818
9,0.08170640925360713,0.9713375796178344,0.3276381480849743,0.8787878787878788
10,0.048490381764046325,0.9840764331210191,0.25388748324335075,0.9393939393939394
