model_name,run_dir,best_validation_accuracy,final_validation_accuracy,test_accuracy,test_accuracy_approaching,test_accuracy_leaving,test_accuracy_moving_left,test_accuracy_moving_right
resnet18,training_runs\resnet18_run_001,0.9545454545454546,0.9393939393939394,0.9857142857142858,0.9714285714285714,0.9714285714285714,1.0,1.0
mobilenet_v3_small,training_runs\mobilenet_v3_small_run_001,0.8863636363636364,0.8787878787878788,0.9071428571428571,0.8857142857142857,0.8857142857142857,0.8571428571428571,1.0
efficientnet_b0,training_runs\efficientnet_b0_run_001,0.9696969696969697,0.9621212121212122,0.9642857142857143,0.9714285714285714,0.9714285714285714,0.9142857142857143,1.0
densenet121,training_runs\densenet121_run_001,0.9924242424242424,0.9621212121212122,0.9928571428571429,0.9714285714285714,1.0,1.0,1.0
