epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.9990657146569271,0.5318471337579618,0.6295984929258173,0.7348484848484849
2,0.42240029231757875,0.8423566878980892,0.3986542461947961,0.8257575757575758
3,0.25155950446797026,0.9124203821656051,0.2634008336445373,0.8939393939393939
4,0.17230919459063537,0.9490445859872612,0.2140450221909718,0.9242424242424242
5,0.09467028503774837,0.9665605095541401,0.25539458349036676,0.9166666666666666
6,0.08116699850103658,0.9777070063694268,0.25197876594734914,0.9242424242424242
7,0.09352986261865516,0.9617834394904459,0.1285635381654808,0.9393939393939394
8,0.07593667911733412,0.9681528662420382,0.10046158528491629,0.9696969696969697
9,0.06331571039838634,0.9792993630573248,0.34789758468369575,0.9015151515151515
10,0.05287148594666438,0.9792993630573248,0.08952865791665814,0.9621212121212122
