epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6582702216069409,0.7308917197452229,0.4730852675257307,0.7878787878787878
2,0.24386390806383387,0.9187898089171974,0.5200578176106015,0.8409090909090909
3,0.1532414962306239,0.9538216560509554,0.13505478246335054,0.946969696969697
4,0.10041320105646825,0.9697452229299363,0.16242520398262775,0.9318181818181818
5,0.07769328813738884,0.9713375796178344,0.12995915013280782,0.9545454545454546
6,0.05402500296284439,0.9872611464968153,0.21624167113049858,0.9015151515151515
7,0.0579839060498271,0.9840764331210191,0.04276379581918291,0.9924242424242424
8,0.09558707113810785,0.9697452229299363,0.19251647585946502,0.9015151515151515
9,0.07077344830865694,0.9792993630573248,0.1560537933908177,0.9545454545454546
10,0.07880550692047758,0.9745222929936306,0.15350511489492474,0.9621212121212122
